Verb,Noun,Label,Confidence
grab,headline,L,0.6666666666666666
miss,offer,L,1.0
target,organism,N,1.0
fill,magazine,N,1.0
roll,product,N,1.0
rest,attack,L,1.0
dissolve,venture,L,1.0
attack,town,L,1.0
kill,child,N,1.0
drink,drug,L,1.0
examine,connection,N,1.0
drag,rate,N,1.0
dissolve,order,L,1.0
flood,window,N,1.0
cool,trend,N,1.0
knock,part,L,1.0
target,currency,N,1.0
destroy,opportunity,L,1.0
fix,dollar,N,1.0
miss,impact,N,1.0
grab,money,N,1.0
plant,potato,L,1.0
touch,material,L,1.0
fix,ceiling,L,1.0
kick,prisoner,N,1.0
destroy,thousand,L,1.0
target,citizen,L,1.0
eat,portion,L,1.0
examine,charge,L,1.0
lend,support,N,0.7142857142857143
destroy,institution,N,1.0
miss,picture,L,1.0
fill,house,N,1.0
examine,work,L,1.0
examine,request,N,1.0
strike,country,L,1.0
fill,play,N,1.0
kick,rally,N,1.0
ride,rally,L,1.0
kick,hole,L,1.0
step,campaign,L,1.0
fill,term,L,1.0
target,requirement,N,1.0
pump,revenue,N,1.0
flood,world,L,1.0
fill,wish,N,1.0
lend,amount,L,1.0
miss,rally,L,1.0
smooth,policy,N,1.0
destroy,document,L,1.0
eat,lunch,L,1.0
miss,connection,L,1.0
dissolve,government,N,1.0
kill,plan,N,1.0
ride,nose,N,1.0
grasp,fact,L,0.6666666666666666
pump,market,N,1.0
examine,area,L,1.0
fill,fleet,N,1.0
grasp,hand,L,0.6666666666666666
assault,audience,N,1.0
miss,class,L,1.0
knock,communication,N,1.0
smooth,source,N,1.0
dance,dance,L,1.0
destroy,painting,L,1.0
destroy,minute,L,1.0
attack,vessel,L,1.0
ride,storm,N,1.0
smooth,contact,N,1.0
step,coverage,L,1.0
lend,money,L,1.0
kill,offer,N,1.0
lend,fund,L,1.0
fix,device,L,1.0
flood,system,L,0.5
escape,effect,N,1.0
kick,thing,N,1.0
miss,call,L,1.0
attack,presence,N,1.0
step,other,N,1.0
strike,plant,L,1.0
escape,finding,L,1.0
lend,hand,N,1.0
drink,beer,L,0.5555555555555556
cool,attitude,N,1.0
stick,growth,N,1.0
fly,route,L,0.75
attack,report,N,1.0
eat,rule,N,1.0
flow,site,L,1.0
examine,issue,L,0.5
fly,weekend,L,1.0
strike,plan,L,0.5
kick,market,N,1.0
target,group,N,1.0
target,growth,L,0.5
escape,controversy,N,1.0
rest,perception,N,1.0
knock,stock,L,0.5714285714285714
target,issue,N,1.0
escape,total,N,1.0
kill,request,N,1.0
escape,system,L,1.0
attack,governor,N,1.0
dissolve,group,L,0.6666666666666666
attack,other,L,1.0
examine,name,N,1.0
drag,tree,N,1.0
kick,water,L,1.0
fly,hour,L,0.5
knock,estimate,L,1.0
target,stock,N,1.0
escape,while,L,1.0
roll,line,N,0.7142857142857143
examine,option,L,0.5
escape,sanction,N,1.0
flood,foundation,N,1.0
examine,writing,L,1.0
fill,investor,N,1.0
attack,policy,L,1.0
grab,customer,N,1.0
attack,contradiction,N,1.0
examine,effect,N,1.0
step,pressure,N,1.0
pump,asset,N,1.0
destroy,file,L,1.0
step,inspection,N,1.0
destroy,foundation,N,1.0
drink,alcohol,L,1.0
attack,administration,N,1.0
grab,market,N,1.0
ride,crisis,N,1.0
kill,officer,L,1.0
miss,excitement,N,1.0
fill,position,L,0.8571428571428571
rest,fear,N,1.0
roll,mill,L,1.0
attack,effort,N,1.0
grab,station,N,1.0
miss,home,L,1.0
attack,program,N,1.0
destroy,economy,N,1.0
flourish,coast,L,1.0
drag,train,L,1.0
ride,time,L,1.0
step,collection,L,1.0
kick,idea,N,1.0
strike,analyst,N,1.0
pour,resource,N,0.6666666666666666
miss,friend,N,1.0
attack,journal,N,1.0
dissolve,structure,L,1.0
strike,match,L,1.0
fix,system,N,1.0
drink,amount,N,1.0
drag,profit,N,1.0
kick,question,L,1.0
strike,youth,L,1.0
touch,fear,N,1.0
miss,goal,N,1.0
target,fund,N,1.0
strike,blow,L,0.5
rest,treatment,L,1.0
grab,protein,N,1.0
strike,root,N,1.0
eat,minute,N,1.0
attack,cook,N,1.0
dance,version,L,1.0
escape,pressure,L,1.0
fill,spot,L,1.0
knock,missile,N,1.0
fill,screen,N,1.0
eat,piece,L,1.0
escape,shadow,N,1.0
examine,content,L,1.0
drag,thing,N,1.0
play,piece,L,1.0
roll,model,N,1.0
attack,panel,N,1.0
examine,kind,N,1.0
destroy,building,L,1.0
attack,platform,L,1.0
attack,provision,N,1.0
plant,grass,L,1.0
miss,appearance,L,1.0
drown,sound,N,1.0
attack,unemployment,N,1.0
fix,other,N,1.0
step,pursuit,N,1.0
touch,bond,N,1.0
escape,virus,N,1.0
drag,market,N,0.75
pump,barrel,N,0.8
escape,ceiling,N,1.0
dissolve,partnership,L,0.5
examine,intelligence,L,1.0
lend,piece,L,1.0
examine,alternative,L,0.5
grasp,idea,N,1.0
kick,ambassador,N,1.0
knock,number,L,1.0
lend,dollar,L,0.6666666666666666
fill,pint,L,1.0
fix,number,L,1.0
kill,engineer,L,1.0
smooth,decline,N,1.0
kill,panel,N,1.0
examine,cell,L,1.0
dissolve,contract,N,1.0
fix,process,L,1.0
grab,phone,L,1.0
examine,practice,N,1.0
grab,dish,N,1.0
step,drive,N,1.0
fix,responsibility,L,1.0
grab,publicity,L,1.0
cool,growth,N,1.0
drag,people,N,1.0
escape,responsibility,L,1.0
assault,worker,L,1.0
strike,post,L,1.0
examine,computer,L,1.0
smooth,flow,N,1.0
roll,sleeve,N,1.0
destroy,company,N,0.6666666666666666
pump,bullet,N,1.0
fill,bill,N,1.0
flourish,investment,L,1.0
examine,relation,L,1.0
examine,hospital,L,1.0
target,company,N,1.0
kill,pilot,N,1.0
flood,publication,N,1.0
escape,poverty,N,1.0
fix,field,N,1.0
drag,floor,L,1.0
touch,investigation,L,0.5
touch,woman,N,1.0
destroy,clothes,L,1.0
kill,coalition,L,1.0
step,effort,N,1.0
drink,juice,L,1.0
plant,bomb,N,1.0
step,role,N,1.0
miss,payment,L,1.0
attack,personality,N,1.0
escape,disaster,N,1.0
destroy,foot,L,1.0
escape,family,N,1.0
drag,bottle,L,1.0
destroy,stone,L,1.0
examine,future,N,1.0
fix,defect,L,1.0
step,spending,N,1.0
pump,deficit,N,1.0
kick,summit,N,1.0
eat,grass,L,1.0
miss,boat,N,1.0
eat,profit,N,1.0
lend,home,L,1.0
grab,gold,N,1.0
attack,camp,L,1.0
ride,trail,N,1.0
escape,condition,L,1.0
pour,cash,N,1.0
attack,record,L,1.0
assault,street,L,1.0
knock,light,N,1.0
examine,topic,L,1.0
target,family,L,1.0
strike,deal,N,0.6923076923076923
cool,inflation,N,1.0
lend,perspective,N,1.0
pump,action,L,1.0
pour,rain,N,1.0
escape,invasion,L,1.0
miss,shot,L,1.0
attack,problem,N,0.75
escape,decline,N,1.0
strike,market,L,1.0
destroy,copy,N,1.0
fly,plane,L,1.0
drag,lady,L,1.0
drag,essay,N,1.0
escape,evaluation,N,1.0
step,advertising,N,1.0
touch,base,L,1.0
smooth,tendency,N,1.0
roll,loss,N,1.0
destroy,frame,N,1.0
destroy,plan,N,1.0
roll,margin,N,1.0
sleep,light,N,1.0
destroy,accident,L,1.0
step,base,N,1.0
smooth,affair,N,1.0
strike,part,L,1.0
smooth,movement,N,1.0
examine,trading,L,1.0
stumble,home,L,1.0
strike,friendship,N,1.0
drag,price,N,0.75
kill,cell,L,1.0
destroy,asset,L,0.5
step,communication,L,1.0
strike,time,L,1.0
kill,other,L,1.0
strike,nerve,N,1.0
grab,power,L,1.0
cool,momentum,N,1.0
rest,head,L,1.0
strike,balance,L,0.5
miss,facility,L,1.0
grasp,message,L,1.0
lend,fleet,L,1.0
drown,official,L,1.0
escape,fact,N,1.0
flow,time,N,1.0
examine,announcement,L,1.0
strike,target,L,1.0
touch,land,L,1.0
fly,governor,L,1.0
kill,person,L,1.0
kick,heel,L,1.0
smooth,peak,N,1.0
destroy,platform,L,1.0
examine,approach,N,1.0
strike,profile,L,1.0
rest,doubt,L,1.0
escape,payment,L,1.0
dissolve,parliament,L,0.7142857142857143
escape,welfare,N,1.0
kill,plant,L,1.0
pour,drink,N,1.0
kill,agency,N,1.0
step,plane,L,1.0
target,acquisition,N,1.0
plant,device,N,1.0
examine,member,L,1.0
examine,aspect,N,1.0
grab,target,N,1.0
target,city,N,1.0
stick,sign,N,1.0
miss,target,N,1.0
strike,editor,N,1.0
target,industry,L,0.5
attack,queen,N,1.0
touch,session,L,1.0
plant,acre,L,1.0
flood,board,N,1.0
touch,people,N,1.0
target,district,N,1.0
cool,temperature,L,1.0
flood,shelf,N,1.0
roll,program,N,1.0
plant,flag,N,1.0
lend,stock,L,1.0
attack,method,L,1.0
knock,cover,N,1.0
ride,boom,L,1.0
smooth,trading,N,1.0
examine,relationship,N,1.0
pump,business,L,1.0
step,production,N,1.0
rest,deposit,L,1.0
touch,controversy,L,1.0
drag,gold,N,1.0
ride,success,N,1.0
knock,point,L,1.0
examine,link,N,1.0
destroy,cell,N,1.0
kick,phase,N,1.0
assault,right,L,1.0
attack,merit,N,1.0
fix,offer,N,1.0
plant,crop,L,0.8
pump,drama,N,1.0
attack,system,N,1.0
dissolve,marriage,N,1.0
knock,element,N,1.0
kick,kind,N,1.0
pump,move,N,1.0
flood,area,L,0.6666666666666666
touch,state,N,1.0
attack,ticket,L,1.0
drag,sale,N,1.0
examine,competition,N,1.0
step,pace,N,1.0
fill,agenda,L,1.0
smooth,deal,N,1.0
escape,number,N,1.0
destroy,business,N,0.6666666666666666
dissolve,company,N,1.0
kick,signal,N,1.0
step,criticism,N,1.0
examine,face,L,1.0
destroy,progress,N,1.0
examine,sample,L,1.0
roll,cheek,L,1.0
kill,concept,N,1.0
fly,mile,L,1.0
flood,list,L,1.0
kill,program,N,1.0
eat,leaf,N,1.0
touch,explosion,L,1.0
ride,move,L,1.0
fill,opening,L,0.5
eat,star,L,1.0
drag,accountant,L,1.0
flourish,parameter,N,1.0
fix,model,L,1.0
strike,conclusion,N,1.0
drink,card,L,1.0
knock,currency,L,1.0
eat,tube,L,1.0
kill,average,L,1.0
dissolve,parent,N,1.0
drag,earnings,L,0.5
attack,person,N,1.0
touch,boom,N,1.0
strike,voter,N,1.0
attack,cell,N,1.0
examine,horse,L,1.0
drag,woman,L,1.0
escape,liability,N,1.0
play,circle,N,1.0
rest,concern,N,1.0
roll,container,L,1.0
miss,promotion,N,1.0
examine,offer,L,1.0
grasp,concept,N,1.0
touch,ground,L,1.0
assault,building,N,1.0
ride,attack,N,1.0
pour,million,N,1.0
target,equipment,L,1.0
stick,consumer,N,1.0
miss,story,L,1.0
strike,fear,N,1.0
knock,value,L,1.0
roll,number,N,1.0
examine,bill,L,1.0
attack,ball,N,1.0
grab,portion,N,1.0
examine,substance,L,1.0
strike,base,L,1.0
lend,other,L,1.0
fly,aircraft,L,0.6666666666666666
examine,worker,L,1.0
attack,force,L,1.0
attack,prey,N,1.0
attack,economy,N,1.0
kick,pile,L,1.0
flood,market,N,0.5555555555555556
target,hundred,N,1.0
step,door,L,1.0
escape,amount,L,1.0
pump,result,N,1.0
melt,container,L,1.0
fix,jury,N,1.0
step,call,N,1.0
pour,stream,N,1.0
smooth,move,N,1.0
pour,word,N,1.0
pour,fortune,N,1.0
examine,information,L,1.0
knock,corner,N,1.0
strike,individual,N,1.0
sleep,night,L,1.0
step,growth,N,1.0
stick,neck,N,1.0
target,crowd,N,1.0
examine,compliance,N,1.0
destroy,being,L,1.0
drag,stock,N,1.0
fill,plane,L,1.0
drag,performance,N,1.0
touch,water,L,1.0
target,business,L,0.6
strike,executive,L,1.0
drink,quantity,N,1.0
flow,foot,L,1.0
destroy,missile,L,1.0
dissolve,firm,L,1.0
attack,rate,N,1.0
escape,penalty,N,1.0
touch,issue,L,1.0
step,acquisition,L,1.0
smooth,condition,N,1.0
kill,woman,L,1.0
examine,death,L,1.0
cool,thing,N,0.75
plant,paragraph,N,1.0
touch,asset,L,1.0
dissolve,objection,N,1.0
strike,ground,L,1.0
touch,label,L,1.0
touch,debate,L,1.0
attack,headquarters,L,1.0
knock,brick,L,1.0
destroy,image,N,1.0
rest,soul,N,1.0
miss,aspect,L,1.0
touch,nerve,L,1.0
attack,intention,L,1.0
examine,participation,N,1.0
fill,portion,N,1.0
fill,stage,N,1.0
strike,company,L,0.5
fix,expenditure,N,1.0
pump,concern,N,1.0
smooth,conflict,L,0.5
plant,notion,L,1.0
dance,movement,N,1.0
fix,unit,L,1.0
flow,back,N,1.0
dissolve,agency,N,1.0
cool,economy,N,0.9333333333333333
destroy,enterprise,N,1.0
examine,text,L,1.0
rest,decision,N,1.0
flood,court,N,1.0
eat,half,L,1.0
touch,speculation,L,1.0
ride,wave,N,1.0
strike,arrangement,N,1.0
drag,distance,L,1.0
escape,routine,N,1.0
melt,opinion,N,1.0
destroy,hope,L,0.5
destroy,deal,N,1.0
touch,drop,N,1.0
knock,window,L,1.0
examine,application,L,1.0
dissolve,blood,L,1.0
drag,dollar,N,0.6666666666666666
fix,level,L,1.0
plant,sign,N,1.0
examine,food,L,1.0
examine,account,L,1.0
knock,vehicle,L,1.0
destroy,reputation,N,1.0
roll,move,N,1.0
pour,thousand,N,1.0
grab,part,L,1.0
flood,circuit,L,1.0
roll,fund,L,1.0
touch,observer,N,1.0
flood,office,N,0.7142857142857143
smooth,value,N,1.0
cool,rally,N,1.0
dissolve,assembly,N,1.0
cool,fear,N,1.0
grab,share,L,0.5
pump,capital,N,1.0
roll,round,L,1.0
grab,hand,L,0.5
escape,increase,N,1.0
drag,group,N,1.0
escape,degree,L,1.0
strike,change,N,1.0
dissolve,stone,L,1.0
attack,board,L,1.0
fill,station,L,1.0
touch,rally,L,1.0
grab,buyer,N,1.0
assault,wife,L,1.0
grab,woman,N,1.0
fix,school,N,1.0
examine,policy,L,1.0
pour,water,L,0.5
fill,team,N,1.0
ride,publicity,L,1.0
miss,window,L,1.0
examine,witness,L,1.0
play,role,N,1.0
touch,response,L,1.0
